"","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Norway","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","Switzerland","UK"
"urb_2009",3.9,9.9,NA,NA,NA,4.3,6.4,1.8,1.5,5.1,6.8,2.9,3.6,NA,3.7,6.6,1.5,2.6,8.9,NA,10.8,NA,3.2,5.1,NA,2.6,3,3.2,1.5,NA,6
"urb_2010",3.99999999999997,10.1999999999999,NA,NA,NA,4.33333333333332,6.49999999999997,1.83333333333334,1.53333333333333,5.13333333333333,6.89999999999998,3.03333333333336,3.66666666666669,NA,3.73333333333332,6.66666666666667,1.53333333333333,2.63333333333334,9.16666666666674,NA,11.0333333333333,NA,3.23333333333332,5.13333333333333,NA,2.66666666666669,3.06666666666666,3.23333333333332,1.5,NA,6.06666666666668
"urb_2011",4.09999999999997,10.4999999999999,NA,NA,NA,4.36666666666667,6.59999999999999,1.86666666666667,1.56666666666666,5.16666666666667,7,3.16666666666669,3.73333333333335,NA,3.76666666666665,6.73333333333333,1.56666666666666,2.66666666666667,9.43333333333339,NA,11.2666666666667,NA,3.26666666666665,5.16666666666667,NA,2.73333333333335,3.13333333333333,3.26666666666665,1.5,NA,6.13333333333334
"urb_2012",4.2,10.8,1.7,NA,5.1,4.4,6.7,1.9,1.6,5.2,7.1,3.3,3.8,NA,3.8,6.8,1.6,2.7,9.7,23.8,11.5,NA,3.3,5.2,2,2.8,3.2,3.3,1.5,NA,6.2
"urb_2013",4.23333333333333,11,1.73333333333332,NA,5.20000000000002,4.46666666666667,6.76666666666665,1.93333333333332,1.6,5.26666666666665,7.20000000000002,3.33333333333332,3.90000000000001,NA,3.8,6.83333333333334,1.6,2.73333333333333,9.73333333333332,23.7666666666667,11.7,NA,3.36666666666665,5.23333333333333,2.06666666666663,2.86666666666665,3.23333333333333,3.33333333333332,1.53333333333332,NA,6.30000000000001
"urb_2014",4.26666666666667,11.2,1.76666666666665,NA,5.30000000000001,4.53333333333333,6.83333333333331,1.96666666666665,1.6,5.33333333333331,7.30000000000001,3.36666666666665,4,NA,3.8,6.86666666666667,1.6,2.76666666666667,9.76666666666665,23.7333333333333,11.9,NA,3.43333333333331,5.26666666666667,2.1333333333333,2.93333333333331,3.26666666666667,3.36666666666665,1.56666666666665,NA,6.40000000000001
"urb_2015",4.3,11.4,1.8,3.7,5.4,4.6,6.9,2,1.6,5.4,7.4,3.4,4.1,NA,3.8,6.9,1.6,2.8,9.8,23.7,12.1,NA,3.5,5.3,2.2,3,3.3,3.4,1.6,NA,6.5
"urb_2016",4.26666666666667,11.5,1.9666666666667,3.5333333333333,5.66666666666674,4.53333333333333,6.9,1.89999999999998,1.63333333333334,5.46666666666667,7.46666666666667,3.60000000000002,4.06666666666666,NA,3.93333333333334,6.80000000000001,1.63333333333334,2.56666666666666,9,24.9666666666667,12.2666666666667,NA,3.53333333333334,5.66666666666663,2.40000000000003,3.13333333333333,3.63333333333333,3.5,1.66666666666669,NA,6.46666666666667
"urb_mean",4.15833333333333,10.8125,1.79333333333333,3.61666666666665,5.33333333333335,4.44166666666666,6.69999999999999,1.9,1.57916666666667,5.25833333333333,7.14583333333333,3.26250000000001,3.85833333333334,NA,3.79166666666666,6.775,1.57916666666667,2.68333333333333,9.43750000000001,23.9933333333333,11.5708333333333,NA,3.35416666666666,5.25833333333333,2.15999999999999,2.84166666666666,3.22916666666666,3.32499999999999,1.54583333333333,NA,6.25833333333334
"d_urb",0.0140415140415153,0.0234487734487753,NA,NA,NA,0.00978220745662675,0.0116567460317467,0.0123456790123444,0.0108465608465617,0.0104263927793346,0.0142973856209161,0.0302408319649709,0.0209435626102299,NA,0.00664950664950749,0.00541125541125575,0.0108465608465617,0.00427350427350394,0.00655430711610393,NA,0.0195105820105837,NA,0.0157490079365091,0.0119825708061005,NA,0.027777777777778,0.0239417989418002,0.0121527777777787,0.0150793650793667,NA,0.0125661375661382
