"Domain.Code","Domain","Area.Code..FAO.","Area","Element.Code","Element","Item.Code","Item","Year.Code","Year","Unit","Value","Flag","Flag.Description"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1992,1992,"1000 ha",79.9612,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1993,1993,"1000 ha",81.9434,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1994,1994,"1000 ha",84.0011,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1995,1995,"1000 ha",86.3379,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1996,1996,"1000 ha",88.8025,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1997,1997,"1000 ha",91.5869,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1998,1998,"1000 ha",95.2431,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1999,1999,"1000 ha",98.9227,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2000,2000,"1000 ha",103.1195,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2001,2001,"1000 ha",113.8384,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2002,2002,"1000 ha",129.254,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2003,2003,"1000 ha",148.6862,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2004,2004,"1000 ha",170.1007,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2005,2005,"1000 ha",170.4785,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2006,2006,"1000 ha",171.0075,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2007,2007,"1000 ha",171.6643,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2008,2008,"1000 ha",174.2859,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2009,2009,"1000 ha",174.4778,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2010,2010,"1000 ha",174.6405,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2011,2011,"1000 ha",174.8033,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2012,2012,"1000 ha",175.4485,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2013,2013,"1000 ha",175.5648,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2014,2014,"1000 ha",175.7043,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2015,2015,"1000 ha",175.8321,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2016,2016,"1000 ha",176.0414,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2017,2017,"1000 ha",176.2972,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2018,2018,"1000 ha",176.5878,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2019,2019,"1000 ha",176.9773,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",1992,1992,"1000 ha",4391.6927,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",1993,1993,"1000 ha",4391.5726,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",1994,1994,"1000 ha",4391.5648,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",1995,1995,"1000 ha",4413.9365,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",1996,1996,"1000 ha",4414.1326,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",1997,1997,"1000 ha",4413.111,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",1998,1998,"1000 ha",4386.5526,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",1999,1999,"1000 ha",4325.6125,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2000,2000,"1000 ha",4305.5823,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2001,2001,"1000 ha",4294.8084,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2002,2002,"1000 ha",4276.7445,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2003,2003,"1000 ha",4268.0877,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2004,2004,"1000 ha",4207.3587,"FC","Calculated data"
