"Species","temp","temp_sd","urb","urb_sd","hico","hico_sd","forest","forest_sd"
"Acanthis flammea",NA,NA,NA,NA,NA,NA,NA,NA
"Accipiter nisus",NA,NA,NA,NA,NA,NA,NA,NA
"Acrocephalus arundinaceus",NA,NA,7.74766820498827,13.7627508882057,-0.21909289260512,1.46143945877315,NA,NA
"Acrocephalus palustris",-0.0512762234723155,0.573047879042813,NA,NA,NA,NA,NA,NA
"Acrocephalus schoenobaenus",NA,NA,NA,NA,NA,NA,0.130680018900102,1.03836653899288
"Acrocephalus scirpaceus",0.162328963005345,0.360727645916985,NA,NA,NA,NA,NA,NA
"Actitis hypoleucos",1.23763518933099,0.474321435727057,NA,NA,1.15041277731308,0.693935454883956,NA,NA
"Aegithalos caudatus",NA,NA,NA,NA,-0.287298300987338,0.96962423148568,NA,NA
"Alauda arvensis",-0.238444486773708,0.861385415260159,-0.0825917107987987,2.31628476710729,-0.443214385887661,1.15039514126881,1.15747334006673,1.38025350888386
"Alcedo atthis",NA,NA,NA,NA,NA,NA,NA,NA
"Alectoris rufa",NA,NA,NA,NA,NA,NA,NA,NA
"Anas platyrhynchos",-0.439340534800993,2.10311546194825,NA,NA,-0.267351143903913,0.924946303214161,0.596481593640992,1.16472841921282
"Anthus campestris",NA,NA,NA,NA,-0.0223561028915881,0.3872481108016,NA,NA
"Anthus pratensis",NA,NA,NA,NA,-0.353574719161409,0.588911546111906,NA,NA
"Anthus trivialis",NA,NA,NA,NA,0.284191675471494,0.59634905481324,NA,NA
"Apus apus",0.111917430702758,0.310918795598872,NA,NA,-0.24938393580943,0.342954920689214,NA,NA
"Ardea cinerea",NA,NA,NA,NA,NA,NA,NA,NA
"Bombycilla garrulus",NA,NA,NA,NA,NA,NA,NA,NA
"Bonasa bonasia",NA,NA,NA,NA,NA,NA,NA,NA
"Bubulcus ibis",NA,NA,NA,NA,NA,NA,NA,NA
"Burhinus oedicnemus",NA,NA,NA,NA,NA,NA,NA,NA
"Buteo buteo",0.262376806582109,0.750710654539147,NA,NA,-0.234536558937051,0.836175520906578,NA,NA
"Calandrella brachydactyla",NA,NA,NA,NA,NA,NA,NA,NA
"Calcarius lapponicus",NA,NA,NA,NA,NA,NA,NA,NA
"Carduelis carduelis",-0.162686070301869,0.46966043682415,NA,NA,-0.0270698414918164,0.928609679928897,NA,NA
"Carduelis citrinella",NA,NA,NA,NA,NA,NA,NA,NA
"Carpodacus erythrinus",NA,NA,NA,NA,NA,NA,NA,NA
"Cecropis daurica",NA,NA,NA,NA,NA,NA,NA,NA
"Certhia brachydactyla",0.598445244451771,0.588373834018854,NA,NA,NA,NA,NA,NA
"Certhia familiaris",-0.0857848966033399,0.115755056616473,NA,NA,NA,NA,NA,NA
"Cettia cetti",NA,NA,NA,NA,NA,NA,NA,NA
"Chloris chloris",NA,NA,-2.284503472736,10.6420295618327,0.0520626568839071,1.0410171134003,NA,NA
"Ciconia ciconia",NA,NA,NA,NA,NA,NA,NA,NA
"Circus aeruginosus",0.0514360319817677,0.336327688347957,NA,NA,-0.358541353761709,0.5789837356285,NA,NA
"Cisticola juncidis",NA,NA,NA,NA,NA,NA,NA,NA
"Clamator glandarius",NA,NA,NA,NA,NA,NA,NA,NA
"Coccothraustes coccothraustes",NA,NA,NA,NA,NA,NA,NA,NA
"Columba oenas",0.00406355467875425,0.250079328972576,NA,NA,NA,NA,NA,NA
"Columba palumbus",-0.162798543367012,1.00238322767306,NA,NA,NA,NA,-0.216502099565364,1.40223612568113
"Corvus corax",NA,NA,NA,NA,0.539064635039093,0.695693454834301,NA,NA
"Corvus corone",-0.192342326403039,0.394457366309083,-0.488647436458399,3.7025099847471,NA,NA,NA,NA
"Corvus frugilegus",NA,NA,NA,NA,NA,NA,NA,NA
"Corvus monedula",-0.0907605937583662,0.502765928454756,NA,NA,NA,NA,-0.562863154320436,0.654642052986878
"Cuculus canorus",-0.420670766004574,0.569116376567436,NA,NA,-0.13849789853896,0.387820134705655,NA,NA
"Cyanistes caeruleus",0.65554095646812,1.20328902551161,NA,NA,0.886496562194225,1.51772579812311,NA,NA
"Cyanopica cyanus",NA,NA,NA,NA,NA,NA,NA,NA
"Cygnus olor",-0.749684998695201,0.253029723179252,NA,NA,NA,NA,1.3021386095571,0.188396633177883
"Delichon urbicum",-0.0827581290462626,0.798872372780985,-0.477019261381854,1.07813175241153,NA,NA,NA,NA
"Dendrocopos major",0.528135427206962,0.585564918728151,NA,NA,NA,NA,0.501139287441811,0.772390686149289
