".id","temp_smap","urb_smap","hico_smap","forest_smap","Species"
"Acanthis flammea.Austria",NA,NA,NA,NA,"Acanthis flammea"
"Acanthis flammea.Czech Republic",NA,NA,NA,NA,"Acanthis flammea"
"Acanthis flammea.Denmark",NA,NA,NA,NA,"Acanthis flammea"
"Acanthis flammea.Finland",NA,NA,NA,NA,"Acanthis flammea"
"Acanthis flammea.Germany",NA,NA,NA,NA,"Acanthis flammea"
"Acanthis flammea.Italy",NA,NA,NA,NA,"Acanthis flammea"
"Acanthis flammea.Netherlands",NA,NA,NA,NA,"Acanthis flammea"
"Acanthis flammea.Republic of Ireland",NA,NA,NA,NA,"Acanthis flammea"
"Acanthis flammea.Sweden",NA,NA,NA,NA,"Acanthis flammea"
"Acanthis flammea.United Kingdom",NA,NA,NA,NA,"Acanthis flammea"
"Accipiter nisus.Belgium",NA,NA,NA,NA,"Accipiter nisus"
"Accipiter nisus.Czech Republic",NA,NA,NA,NA,"Accipiter nisus"
"Accipiter nisus.Denmark",NA,NA,NA,NA,"Accipiter nisus"
"Accipiter nisus.France",NA,NA,NA,NA,"Accipiter nisus"
"Accipiter nisus.Germany",NA,NA,NA,NA,"Accipiter nisus"
"Accipiter nisus.Italy",NA,NA,NA,NA,"Accipiter nisus"
"Accipiter nisus.Latvia",NA,NA,NA,NA,"Accipiter nisus"
"Accipiter nisus.Netherlands",NA,NA,NA,NA,"Accipiter nisus"
"Accipiter nisus.Poland",NA,NA,NA,NA,"Accipiter nisus"
"Accipiter nisus.Republic of Ireland",NA,NA,NA,NA,"Accipiter nisus"
"Accipiter nisus.Spain",NA,NA,NA,NA,"Accipiter nisus"
"Accipiter nisus.United Kingdom",NA,NA,NA,NA,"Accipiter nisus"
"Acrocephalus arundinaceus.Bulgaria",NA,NA,NA,NA,"Acrocephalus arundinaceus"
"Acrocephalus arundinaceus.Czech Republic",NA,NA,NA,NA,"Acrocephalus arundinaceus"
"Acrocephalus arundinaceus.France",NA,NA,NA,NA,"Acrocephalus arundinaceus"
"Acrocephalus arundinaceus.Germany",NA,NA,NA,NA,"Acrocephalus arundinaceus"
"Acrocephalus arundinaceus.Hungary",NA,NA,NA,NA,"Acrocephalus arundinaceus"
"Acrocephalus arundinaceus.Italy",NA,NA,NA,NA,"Acrocephalus arundinaceus"
"Acrocephalus arundinaceus.Lithuania",NA,NA,NA,NA,"Acrocephalus arundinaceus"
"Acrocephalus arundinaceus.Netherlands",NA,0.648663826755766,0.545517732612604,NA,"Acrocephalus arundinaceus"
"Acrocephalus arundinaceus.Netherlands",NA,0.703042075462189,0.425438278964844,NA,"Acrocephalus arundinaceus"
"Acrocephalus arundinaceus.Netherlands",NA,0.140299935043717,-0.84266063135538,NA,"Acrocephalus arundinaceus"
"Acrocephalus arundinaceus.Netherlands",NA,-0.573306132284346,-0.784044226320322,NA,"Acrocephalus arundinaceus"
"Acrocephalus arundinaceus.Netherlands",NA,0.140636870753775,-0.682960996852492,NA,"Acrocephalus arundinaceus"
"Acrocephalus arundinaceus.Netherlands",NA,-0.647796882835398,-1.22626698385235,NA,"Acrocephalus arundinaceus"
"Acrocephalus arundinaceus.Netherlands",NA,-0.215450801948869,-0.516621880013054,NA,"Acrocephalus arundinaceus"
"Acrocephalus arundinaceus.Poland",NA,NA,NA,NA,"Acrocephalus arundinaceus"
"Acrocephalus arundinaceus.Portugal",NA,NA,NA,NA,"Acrocephalus arundinaceus"
"Acrocephalus arundinaceus.Romania",NA,NA,NA,NA,"Acrocephalus arundinaceus"
"Acrocephalus arundinaceus.Slovakia",NA,13.4871718778012,-1.47901762303063,NA,"Acrocephalus arundinaceus"
