Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1961","1961","kg/ha","6.65","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1962","1962","kg/ha","4.11","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1963","1963","kg/ha","4.04","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1964","1964","kg/ha","3.99","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1965","1965","kg/ha","3.83","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1966","1966","kg/ha","5.56","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1967","1967","kg/ha","12.59","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1968","1968","kg/ha","33.33","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1969","1969","kg/ha","27.35","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1970","1970","kg/ha","37.56","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1971","1971","kg/ha","50.82","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1972","1972","kg/ha","52.24","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1973","1973","kg/ha","56.76","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1974","1974","kg/ha","55.67","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1975","1975","kg/ha","54.38","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1976","1976","kg/ha","66.13","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1977","1977","kg/ha","72.25","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1978","1978","kg/ha","103.16","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1979","1979","kg/ha","101.72","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1980","1980","kg/ha","98.01","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1981","1981","kg/ha","102.69","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1982","1982","kg/ha","99.86","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1983","1983","kg/ha","102.82","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1984","1984","kg/ha","105.19","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1985","1985","kg/ha","105.19","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1986","1986","kg/ha","105.19","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1987","1987","kg/ha","92.58","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1988","1988","kg/ha","97.06","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1989","1989","kg/ha","113.01","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1990","1990","kg/ha","104.4","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1991","1991","kg/ha","31.72","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1992","1992","kg/ha","21.05","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1993","1993","kg/ha","21.68","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1994","1994","kg/ha","18.06","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1995","1995","kg/ha","14.25","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1996","1996","kg/ha","7.83","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1997","1997","kg/ha","6","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1998","1998","kg/ha","25.75","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1999","1999","kg/ha","8.3","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2000","2000","kg/ha","17.31","Fc","Calculated data"
