Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","121","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","121","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","121","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","121","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","201","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","251","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","262","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","274","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","285","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","297","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","308","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","319","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","331","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","342","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","354","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","365","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","376","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","388","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","399","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","411","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","590","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","583","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","362","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","451","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","tonnes","457","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","tonnes","538","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","tonnes","584","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","615","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","442","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","730","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","1990","1990","tonnes","70","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","1991","1991","tonnes","70","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","1992","1992","tonnes","70","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","1993","1993","tonnes","70","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","1994","1994","tonnes","117","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","1995","1995","tonnes","145","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","1996","1996","tonnes","150","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","1997","1997","tonnes","155","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","1998","1998","tonnes","160","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","1999","1999","tonnes","165","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2000","2000","tonnes","170","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2001","2001","tonnes","175","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2002","2002","tonnes","179","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2003","2003","tonnes","184","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2004","2004","tonnes","189","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2005","2005","tonnes","194","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2006","2006","tonnes","199","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2007","2007","tonnes","204","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2008","2008","tonnes","209","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2009","2009","tonnes","214","Fc","Calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2010","2010","tonnes","376","Fc","Calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2011","2011","tonnes","317","Fc","Calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2012","2012","tonnes","158","Fc","Calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2013","2013","tonnes","214","Fc","Calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2014","2014","tonnes","34","Fc","Calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2015","2015","tonnes","149","Fc","Calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2016","2016","tonnes","182","Fc","Calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2017","2017","tonnes","191","Fc","Calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2018","2018","tonnes","119","Fc","Calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1309","Insecticides","2019","2019","tonnes","142","Fc","Calculated data"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1320","Herbicides","1990","1990","tonnes","5","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1320","Herbicides","1991","1991","tonnes","5","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1320","Herbicides","1992","1992","tonnes","5","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1320","Herbicides","1993","1993","tonnes","5","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1320","Herbicides","1994","1994","tonnes","7","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1320","Herbicides","1995","1995","tonnes","8","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1320","Herbicides","1996","1996","tonnes","8","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1320","Herbicides","1997","1997","tonnes","8","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1320","Herbicides","1998","1998","tonnes","8","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1320","Herbicides","1999","1999","tonnes","8","F","FAO estimate"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1320","Herbicides","2000","2000","tonnes","8","F","FAO estimate"
