Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1961","1961","1000 ha","1232","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1962","1962","1000 ha","1232","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1963","1963","1000 ha","1233","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1964","1964","1000 ha","1230","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1965","1965","1000 ha","1237","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1966","1966","1000 ha","1240","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1967","1967","1000 ha","1244","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1968","1968","1000 ha","1240","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1969","1969","1000 ha","1235","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1970","1970","1000 ha","1230","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1971","1971","1000 ha","1200","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1972","1972","1000 ha","1174","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1973","1973","1000 ha","1146","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1974","1974","1000 ha","1122","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1975","1975","1000 ha","1080","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1976","1976","1000 ha","1075","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1977","1977","1000 ha","1109","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1978","1978","1000 ha","1114","F","FAO estimate"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","1979","1979","1000 ha","1117","Q","Official data reported on FAO Questionnaires from countries"
