Species;Habitat
Acanthis flammea;Other
Accipiter nisus;Forest
Acrocephalus arundinaceus;Other
Acrocephalus palustris;Other
Acrocephalus schoenobaenus;Other
Acrocephalus scirpaceus;Other
Actitis hypoleucos;Other
Aegithalos caudatus;Other
Alauda arvensis;Farmland
Alcedo atthis;Other
Alectoris rufa;Farmland
Anas platyrhynchos;Other
Anthus campestris;Farmland
Anthus pratensis;Farmland
Anthus trivialis;Forest
Apus apus;Other
Ardea cinerea;Other
Bombycilla garrulus;Forest
Bonasa bonasia;Forest
Bubulcus ibis;Farmland
Burhinus oedicnemus;Farmland
Buteo buteo;Other
Calandrella brachydactyla;Farmland
Calcarius lapponicus;Other
Carduelis carduelis;Other
Carduelis citrinella;Forest
Carpodacus erythrinus;Other
Cecropis daurica;Other
Certhia brachydactyla;Forest
Certhia familiaris;Forest
Cettia cetti;Other
Chloris chloris;Other
Ciconia ciconia;Farmland
Circus aeruginosus;Other
Cisticola juncidis;Other
Clamator glandarius;Other
Coccothraustes coccothraustes;Forest
Columba oenas;Forest
Columba palumbus;Other
Corvus corax;Other
Corvus corone;Other
Corvus frugilegus;Farmland
Corvus monedula;Other
Cuculus canorus;Other
Cyanistes caeruleus;Other
Cyanopica cyanus;Forest
Cygnus olor;Other
Delichon urbicum;Other
Dendrocopos major;Other
Dendrocopos syriacus;Other
Dendrocoptes medius;Forest
Dryobates minor;Forest
Dryocopus martius;Forest
Egretta garzetta;Other
Emberiza calandra;Farmland
Emberiza cia;Other
Emberiza cirlus;Farmland
Emberiza citrinella;Farmland
Emberiza hortulana;Farmland
Emberiza melanocephala;Farmland
Emberiza rustica;Forest
Emberiza schoeniclus;Other
Erithacus rubecula;Other
Falco tinnunculus;Farmland
Ficedula albicollis;Forest
Ficedula hypoleuca;Forest
Fringilla coelebs;Other
Fringilla montifringilla;Other
Fulica atra;Other
Galerida cristata;Farmland
Galerida theklae;Farmland
Gallinago gallinago;Other
Gallinula chloropus;Other
Garrulus glandarius;Forest
Grus grus;Other
Haematopus ostralegus;Other
Hippolais icterina;Other
Hippolais polyglotta;Other
Hirundo rustica;Farmland
Iduna pallida;Other
Jynx torquilla;Other
Lanius collurio;Farmland
Lanius minor;Farmland
Lanius senator;Farmland
Larus ridibundus;Other
Limosa limosa;Farmland
Linaria cannabina;Farmland
Locustella fluviatilis;Other
Locustella naevia;Other
Lophophanes cristatus;Forest
Lullula arborea;Other
Luscinia luscinia;Other
Luscinia megarhynchos;Other
Luscinia svecica;Other
Lyrurus tetrix;Other
Melanocorypha calandra;Farmland
Merops apiaster;Other
Motacilla alba;Other
Motacilla cinerea;Other
Motacilla flava;Farmland
Muscicapa striata;Other
Nucifraga caryocatactes;Forest
Numenius arquata;Other
Numenius phaeopus;Other
Oenanthe hispanica;Farmland
Oenanthe oenanthe;Other
Oriolus oriolus;Other
Parus major;Other
Passer domesticus;Other
Passer montanus;Farmland
Perdix perdix;Farmland
Periparus ater;Forest
Petronia petronia;Farmland
Phasianus colchicus;Other
Phoenicurus ochruros;Other
Phoenicurus phoenicurus;Forest
Phylloscopus bonelli;Forest
Phylloscopus collybita;Forest
Phylloscopus sibilatrix;Forest
Phylloscopus trochilus;Other
Pica pica;Other
Picus canus;Forest
Picus viridis;Other
Pluvialis apricaria;Other
Podiceps cristatus;Other
Poecile montanus;Forest
Poecile palustris;Forest
Prunella modularis;Other
Ptyonoprogne rupestris;Other
Pyrrhocorax pyrrhocorax;Other
Pyrrhula pyrrhula;Forest
Regulus ignicapilla;Forest
Regulus regulus;Forest
Saxicola rubetra;Farmland
Saxicola torquatus;Farmland
Serinus serinus;Farmland
Sitta europaea;Forest
Spinus spinus;Forest
Streptopelia decaocto;Other
Streptopelia turtur;Farmland
Sturnus unicolor;Farmland
Sturnus vulgaris;Farmland
Sylvia atricapilla;Other
Sylvia borin;Other
Sylvia cantillans;Other
Sylvia communis;Farmland
Sylvia curruca;Other
Sylvia hortensis;Other
Sylvia melanocephala;Other
Sylvia nisoria;Other
Sylvia undata;Other
Tachybaptus ruficollis;Other
Tadorna tadorna;Other
Tetrax tetrax;Farmland
Tringa erythropus;Other
Tringa glareola;Other
Tringa nebularia;Other
Tringa ochropus;Forest
Tringa totanus;Other
Troglodytes troglodytes;Other
Turdus iliacus;Other
Turdus merula;Other
Turdus philomelos;Other
Turdus pilaris;Other
Turdus torquatus;Other
Turdus viscivorus;Forest
Upupa epops;Farmland
Vanellus vanellus;Farmland
