Species,SSI,Species2
Accipiter gentilis,3.006,Accipiter gentilis
Accipiter nisus,2.556,Accipiter nisus
Acrocephalus arundinaceus,4.913,Acrocephalus arundinaceus
Acrocephalus palustris,3.638,Acrocephalus palustris
Acrocephalus schoenobaenus,3.658,Acrocephalus schoenobaenus
Acrocephalus scirpaceus,6.892,Acrocephalus scirpaceus
Actitis hypoleucos,3.684,Actitis hypoleucos
Aegithalos caudatus,2.663,Aegithalos caudatus
Alauda arvensis,3.314,Alauda arvensis
Alcedo atthis,5.687,Alcedo atthis
Alectoris rufa,6.892,Alectoris rufa
Anas clypeata,3.349,Anas clypeata
Anas crecca,4.909,Anas crecca
Anas platyrhynchos,3.591,Anas platyrhynchos
Anas querquedula,3.997,Anas querquedula
Anas strepera,4.392,Anas strepera
Anser anser,2.574,Anser anser
Anthus campestris,2.824,Anthus campestris
Anthus pratensis,2.665,Anthus pratensis
Anthus spinoletta,6.855,Anthus spinoletta
Anthus trivialis,2.544,Anthus trivialis
Apus apus,3.893,Apus apus
Apus melba,5.622,Apus melba
Apus pallidus,5.537,Apus pallidus
Aquila chrysaetos,2.84,Aquila chrysaetos
Ardea cinerea,2.435,Ardea cinerea
Ardea purpurea,3.864,Ardea purpurea
Arenaria interpres,3.532,Arenaria interpres
Asio flammeus,2.998,Asio flammeus
Asio otus,2.133,Asio otus
Athene noctua,2.897,Athene noctua
Aythya ferina,3.761,Aythya ferina
Aythya fuligula,4.857,Aythya fuligula
Bonasia bonasia,5.471,Bonasia bonasia
Bubulcus ibis,3.234,Bubulcus ibis
Bucephala clangula,5.626,Bucephala clangula
Burhinus oedicnemus,3.196,Burhinus oedicnemus
Buteo lagopus,2.999,Buteo lagopus
Calandrella brachydactyla,4.17,Calandrella brachydactyla
Calidris alpina,3.544,Calidris alpina
Carduelis cannabina,2.587,Linaria cannabina
Carduelis carduelis,3.221,Carduelis carduelis
Carduelis chloris,3.221,Chloris chloris
Carduelis flammea,2.813,Carduelis flammea
Carduelis spinus,9.849,Spinus spinus
Carpodacus erythrinus,2.443,Carpodacus erythrinus
Certhia brachydactyla,2.917,Certhia brachydactyla
Certhia familiaris,2.854,Certhia familiaris
Cettia cetti,3.933,Cettia cetti
Charadrius dubius,3.656,Charadrius dubius
Charadrius hiaticula,2.981,Charadrius hiaticula
Chlidonias hybridus,5.595,Chlidonias hybridus
Ciconia ciconia,3.064,Ciconia ciconia
Ciconia nigra,3.11,Ciconia nigra
Cinclus cinclus,9.849,Cinclus cinclus
Circaetus gallicus,2.05,Circaetus gallicus
Circus aeruginosus,2.6,Circus aeruginosus
Circus cyaneus,3.929,Circus cyaneus
Circus pygargus,2.788,Circus pygargus
Cisticola juncidis,3.078,Cisticola juncidis
Clamator glandarius,3.999,Clamator glandarius
Coccothraustes coccothraustes,2.908,Coccothraustes coccothraustes
Columba livia,6.892,Columba livia
Columba oenas,2.052,Columba oenas
Columba palumbus,2.626,Columba palumbus
Coracias garrulus,2.617,Coracias garrulus
Corvus corax,3.979,Corvus corax
Corvus corone,2.938,Corvus corone
Corvus frugilegus,3.334,Corvus frugilegus
Corvus monedula,2.975,Corvus monedula
Coturnix coturnix,4.22,Coturnix coturnix
Crex crex,4.913,Crex crex
Cuculus canorus,1.833,Cuculus canorus
Cygnus cygnus,3.073,Cygnus cygnus
Cygnus olor,2.691,Cygnus olor
Delichon urbica,4.358,Delichon urbicum
Dendrocopos major,2.94,Dendrocopos major
Dendrocopos medius,4.363,Dendrocoptes medius
Dendrocopos minor,4.382,Dryobates minor
Dryocopus martius,5.114,Dryocopus martius
Egretta garzetta,2.9,Egretta garzetta
Emberiza cia,2.989,Emberiza cia
Emberiza cirlus,2.807,Emberiza cirlus
Emberiza citrinella,3.3,Emberiza citrinella
Emberiza hortulana,2.024,Emberiza hortulana
Emberiza rustica,5.032,Emberiza rustica
Emberiza schoeniclus,4.582,Emberiza schoeniclus
Erithacus rubecula,2.477,Erithacus rubecula
Falco columbarius,3.886,Falco columbarius
Falco naumanni,4.215,Falco naumanni
Falco peregrinus,2.364,Falco peregrinus
Falco subbuteo,2.736,Falco subbuteo
Falco tinnunculus,2.418,Falco tinnunculus
Ficedula albicollis,3.595,Ficedula albicollis
Ficedula hypoleuca,4.358,Ficedula hypoleuca
Fringilla coelebs,2.77,Fringilla coelebs
Fringilla montifringilla,4.769,Fringilla montifringilla
Fulica atra,5.151,Fulica atra
Galerida cristata,2.717,Galerida cristata
Galerida theklae,3.661,Galerida theklae
Gallinago gallinago,5.627,Gallinago gallinago
Gallinula chloropus,4.909,Gallinula chloropus
Garrulus glandarius,3.55,Garrulus glandarius
Gavia stellata,2.896,Gavia stellata
Gyps fulvus,5.415,Gyps fulvus
Haematopus ostralegus,2.577,Haematopus ostralegus
Himantopus himantopus,3.351,Himantopus himantopus
Hippolais icterina,3.226,Hippolais icterina
Hippolais polyglotta,3.172,Hippolais polyglotta
Hirundo rustica,3.286,Hirundo rustica
Jynx torquilla,3.903,Jynx torquilla
Lagopus lagopus,3.573,Lagopus lagopus
Lanius collurio,3.414,Lanius collurio
Lanius excubitor,3.87,Lanius excubitor
Lanius meridionalis,2.984,Lanius meridionalis
Lanius senator,2.584,Lanius senator
Larus argentatus,2.501,Larus argentatus
Larus canus,2.714,Larus canus
Larus fuscus,3.258,Larus fuscus
Larus marinus,3.106,Larus marinus
Larus melanocephalus,3.486,Larus melanocephalus
Larus michahellis,3.018,Larus michahellis
Larus ridibundus,2.345,Larus ridibundus
Limosa limosa,4.804,Limosa limosa
Locustella fluviatilis,4.166,Locustella fluviatilis
Locustella luscinioides,6.892,Locustella luscinioides
Locustella naevia,3.907,Locustella naevia
Loxia curvirostra,7.031,Loxia curvirostra
Loxia pytyopsittacus,9.487,Loxia pytyopsittacus
Lullula arborea,2.54,Lullula arborea
Luscinia luscinia,2.959,Luscinia luscinia
Luscinia megarhynchos,2.575,Luscinia megarhynchos
Luscinia svecica,3.377,Luscinia svecica
Melanocorypha calandra,4.499,Melanocorypha calandra
Mergus merganser,4.287,Mergus merganser
Mergus serrator,3.368,Mergus serrator
Merops apiaster,3.315,Merops apiaster
Milvus migrans,2.574,Milvus migrans
Milvus milvus,2.66,Milvus milvus
Monticola saxatilis,3.617,Monticola saxatilis
Monticola solitarius,4.358,Monticola solitarius
Motacilla alba,2.487,Motacilla alba
Motacilla cinerea,9.849,Motacilla cinerea
Motacilla flava,3.704,Motacilla flava
Muscicapa striata,2.303,Muscicapa striata
Nucifraga caryocatactes,6.881,Nucifraga caryocatactes
Numenius arquata,3.395,Numenius arquata
Numenius phaeopus,3.713,Numenius phaeopus
Nycticorax nycticorax,3.892,Nycticorax nycticorax
Oenanthe oenanthe,2.487,Oenanthe oenanthe
Oriolus oriolus,2.514,Oriolus oriolus
Pandion haliaetus,3.951,Pandion haliaetus
Panurus biarmicus,6.892,Panurus biarmicus
Parus ater,3.604,Periparus ater
Parus cristatus,6.892,Lophophanes cristatus
Parus major,2.436,Parus major
Parus montanus,3.143,Poecile montanus
Parus palustris,3.72,Poecile palustris
