SPECIES,ENGL NAME,STI
Accipiter brevipes,Levant Sparrowhawk,15.6296915134
Accipiter gentilis,Northern Goshawk,11.8007973825
Accipiter nisus,Eurasian Sparrowhawk,11.9162821341
Acridotheres cristatellus,Crested Myna,10.9762310606
Acridotheres tristis,Common Myna,14.3331111111
Acrocephalus agricola,Paddyfield Warbler,15.6050239736
Acrocephalus arundinaceus,Great Reed Warbler,13.8793523116
Acrocephalus dumetorum,Blyth's Reed Warbler,9.5123672859
Acrocephalus melanopogon,Moustached Warbler,16.5739942379
Acrocephalus paludicola,Aquatic Warbler,12.3617821452
Acrocephalus palustris,Marsh Warbler,12.248077272
Acrocephalus schoenobaenus,Sedge Warbler,11.3913898283
Acrocephalus scirpaceus,European Reed Warbler,13.1524057431
Actitis hypoleucos,Common Sandpiper,11.204752038
Aegithalos caudatus,Long-tailed Tit,12.6607518772
Aegolius funereus,Tengmalm's Owl,9.1005501486
Aegypius monachus,Eurasian Black Vulture,16.1423263645
Aix galericulata,Mandarin Duck,12.0188786985
Aix sponsa,Wood Duck,12.3347769782
Alauda arvensis,Eurasian Skylark,12.1983199326
Alca torda,Razorbill,8.983234013
Alcedo atthis,Common Kingfisher,13.5319163712
Alectoris barbara,Barbary Partridge,17.9565222525
Alectoris chukar,Chukar,16.2056005648
Alectoris graeca,Rock Partridge,13.1661273716
Alectoris rufa,Red-legged Partridge,14.8075058251
Alle alle,Little Auk,-8.2647376082
Alopochen aegyptiacus,Egyptian Goose,12.393051119
Amandava amandava,Red Avadavat,18.6155272003
Anas acuta,Northern Pintail,8.5273453088
Spatula clypeata,Northern Shoveler,11.7556216717
Anas crecca,Common Teal,10.071290709
Anas platyrhynchos,Mallard,11.8110548425
Spatula querquedula,Garganey,12.389627827
Anser albifrons,Greater White-fronted Goose,1.4020604804
Anser anser,Greylag Goose,11.1956416463
Anser brachyrhynchus,Pink-footed Goose,3.3589566139
Anser erythropus,Lesser White-fronted Goose,2.0354466746
Anser fabalis,bean goose,4.2945434102
Anthropoides virgo,Demoiselle Crane,15.6535752551
Anthus berthelotii,Berthelot's Pipit,17.5180059524
Anthus campestris,Tawny Pipit,14.4289502352
Anthus cervinus,Red-throated Pipit,3.1344512091
Anthus hodgsoni,Olive-backed Pipit,4.9239624575
Anthus pratensis,Meadow Pipit,9.9487726902
Anthus spinoletta,water pipit/rock pipit,11.6824589944
Anthus trivialis,Tree Pipit,11.2439352645
Apus apus,Common Swift,12.4470483242
Apus caffer,White-rumped Swift,19.2680115916
Tachymarptis melba,Alpine Swift,14.7487858791
Apus pallidus,Pallid Swift,17.4132187993
Apus unicolor,Plain Swift,17.5180059524
Aquila chrysaetos,Golden Eagle,10.737820817
Clanga clanga,Greater Spotted Eagle,12.2125784204
Clanga pomarina,Lesser Spotted Eagle,12.6812933771
Ardea cinerea,Grey Heron,12.6943991523
Ardea purpurea,Purple Heron,15.2459728804
Ardeola ralloides,Squacco Heron,15.9222826178
Arenaria interpres,Ruddy Turnstone,7.7359447649
Asio flammeus,Short-eared Owl,9.6200242401
Asio otus,Long-eared Owl,12.2940439872
Athene noctua,Little Owl,14.2083192272
Aythya ferina,Common Pochard,12.445391892
Aythya fuligula,Tufted Duck,10.1385920012
Aythya marila,Greater Scaup,4.3711269674
Aythya nyroca,Ferruginous Duck,14.3405138677
Bombycilla garrulus,Bohemian Waxwing,5.7732088876
Bonasa bonasia,Hazel Grouse,9.7370954848
Botaurus stellaris,Great Bittern,13.1076210929
Branta bernicla,brent goose,-4.5976922092
Branta canadensis,canada goose,9.5489315049
Branta leucopsis,Barnacle Goose,9.2841908871
Bubo bubo,Eurasian Eagle Owl,11.8717555411
Bubulcus ibis,Cattle Egret,18.2106677423
Bucanetes githagineus,Trumpeter Finch,18.3578447768
Bucanetes mongolicus,,15.3013708514
Bucephala clangula,Common Goldeneye,8.4742927927
Bucephala islandica,Barrow's Goldeneye,3.0456682175
Bulweria bulwerii,Bulwer's Petrel,17.7120982143
Burhinus oedicnemus,Stone-curlew,15.8667631804
Buteo buteo,Common Buzzard,12.6973693303
Buteo lagopus,Rough-legged Buzzard,5.2313430115
Buteo rufinus,Long-legged Buzzard,16.2118333811
Calandrella brachydactyla,Greater Short-toed Lark,16.2800301304
Alaudala rufescens,Lesser Short-toed Lark,17.0538572749
Calcarius lapponicus,Lapland Longspur,4.063825744
Calidris alpina,Dunlin,7.0663752664
Calidris maritima,Purple Sandpiper,3.8798767302
Calidris melanotos,Pectoral Sandpiper,-1.2211929983
Calidris minuta,Little Stint,2.7330225516
Calidris temminckii,Temminck's Stint,4.1715343485
Callipepla californica,California Quail,14.2968468468
Calonectris borealis,Cory's Shearwater,18.5569052418
Caprimulgus europaeus,European Nightjar,13.110333547
Caprimulgus ruficollis,Red-necked Nightjar,17.5621177849
Linaria cannabina,Common Linnet,13.1603552715
Carduelis carduelis,European Goldfinch,13.4542440183
Acanthis flammea,Mealy Redpoll/Lesser Redpoll,8.1923087262
Linaria flavirostris,Twite,6.9462495294
Acanthis flammea hornemanni,Hoary Redpoll,3.0886828702
Spinus spinus,Eurasian Siskin,10.2425165856
Carpodacus erythrinus,Common Rosefinch,10.348256227
Carpodacus rubicilla,Great Rosefinch,9.5286777936
Ardea alba,Great Egret,14.8916063035
Cepphus grylle,Black Guillemot,7.4556643173
Cercotrichas galactotes,Rufous-tailed Scrub-Robin,18.6085126056
Certhia brachydactyla,Short-toed Treecreeper,13.8972978687
Certhia familiaris,Eurasian Treecreeper,11.119463211
Cettia cetti,Cetti's Warbler,15.9492001703
Charadrius alexandrinus,Kentish Plover,16.3071703744
Charadrius asiaticus,Caspian Plover,16.2644926524
Charadrius dubius,Little Ringed Plover,12.7729324864
Charadrius hiaticula,Common Ringed Plover,8.2214626932
Charadrius leschenaultii,Greater Sand Plover,14.6817099567
Charadrius morinellus,Eurasian Dotterel,5.3850226206
Chersophilus duponti,Dupont's Lark,14.9653062548
Chlidonias hybrida,Whiskered Tern,14.8787948952
Chlidonias leucopterus,White-winged Tern,13.1741252005
Chlidonias niger,Black Tern,13.0082465521
Chloris chloris,European Greenfinch,12.6006224966
Chrysolophus amherstiae,Lady Amherst's Pheasant,12.2080256434
Chrysolophus pictus,Golden Pheasant,12.019509631
Ciconia ciconia,White Stork,13.6109777723
Ciconia nigra,Black Stork,13.1076611128
Cinclus cinclus,White-throated Dipper,11.0150016531
Circaetus gallicus,Short-toed Eagle,14.6544201337
Circus aeruginosus,Western Marsh Harrier,13.2259231132
Circus cyaneus,Hen Harrier,10.6284445855
Circus macrourus,Pallid Harrier,13.8641537167
Circus pygargus,Montagu's Harrier,13.6904029809
Cisticola juncidis,Zitting Cisticola,16.8491453521
Clamator glandarius,Great Spotted Cuckoo,16.705954543
Clangula hyemalis,Long-tailed Duck,3.3853509781
Coccothraustes coccothraustes,Hawfinch,12.9763477132
Colinus virginianus,Northern Bobwhite,14.4898879546
Columba livia,Rock Dove,12.7922374501
Columba oenas,Stock Dove,12.4358174295
Columba palumbus,Common Wood Pigeon,12.2214205187
Columba trocaz,Trocaz Pigeon,16.2339285714
Coracias garrulus,European Roller,14.8170350347
Corvus corax,Common Raven,11.7378412998
Corvus corone,carrion crow/hooded crow,12.1293990446
Corvus frugilegus,Rook,12.7340640684
Corvus monedula,Western Jackdaw,12.9581704982
Coturnix coturnix,Common Quail,13.6002736383
Crex crex,Corn Crake,11.9688491073
Cuculus canorus,Common Cuckoo,12.1394391784
Cuculus saturatus,Oriental Cuckoo,7.174000288
Cyanopica cyanus,Azure-winged Magpie,17.5572267179
Cygnus columbianus,Bewick's Swan,0.7404718829
Cygnus cygnus,Whooper Swan,6.2650898152
Cygnus olor,Mute Swan,12.1899516659
Delichon urbicum,Common House Martin,12.3470551373
Dendrocopos major,Great Spotted Woodpecker,12.1154284266
Dendrocoptes medius,Middle Spotted Woodpecker,13.2448971066
