Name,ESPECE,SGIo,SAI,SGIc,ORFUNC,SRI,RANGE BIRDLIFE
Actitis hypoleucos,ACTHYP,0,1.63020833333333,29.514649741914,0.317787688,100,23.439
Ciconia ciconia,CICCIC,0.0181295559999999,2.14285714285714,37.7929090850571,0.311748896,42,8.688
Himantopus himantopus,HIMHIM,0.0618535179999999,2.82008368200837,33.8354393221358,0.349440332,42,62.278
Podiceps cristatus,PODCRI,0.110506946,2.46008403361345,31.1784407331681,0.29124169,151,52.786
Tringa totanus,TRITOT,0.154914582,1.56175298804781,33.3801417627259,0.321153199,32,#NAME?
Egretta garzetta,EGRGAR,0.176482687,2.03468208092486,35.4808347012821,0.316992192,103,27.76
Pyrrhocorax pyrrhocorax,PYRRAX,0.189326279,2.8,42.2689226843337,0.244279938,13,4.215
Emberiza schoeniclus,EMBSCH,0.21639376,1.41310975609756,18.53707436572,0.250276365,188,48.711
Fulica atra,FULATR,0.220876764,2.85372112917023,24.8746582000092,0.325255417,291,51.363
Carduelis citrinella,SERCIT,0.304191247,2.09146341463415,35.9084071620428,0.239594324,28,3.415
Aythya fuligula,AYTFUL,0.31869147,5.38157894736842,42.7190818829376,0.313020649,28,37.502
Monticola solitarius,MONSOL,0.345096843,1.21794871794872,38.675482359999,0.248695013,14,5.081
Sterna hirundo,STEHIR,0.39356103,2.3525641025641,38.8971393459673,0.376435626,48,12.086
Anthus spinoletta,ANTSPI,0.430947025,2.19047619047619,44.5460862853288,0.243688198,29,7.915
Sylvia undata,SYLUND,0.446115067,1.44935543278085,25.3668820418048,0.255114694,94,19.102
Columba livia,COLLIV,0.46243964,7.17369821360699,14.3326560883639,0.284808629,538,51.507
Cygnus olor,CYGOLO,0.463690487,3.12365591397849,38.0399105212613,0.353834036,143,34.217
Cinclus cinclus,CINCIN,0.472182554,1.20175438596491,36.457775026393,0.296227872,55,27.831
Tadorna tadorna,TADTAD,0.477502259,3.80434782608696,39.4704913591363,0.352351107,58,8.24178
Branta canadensis,BRACAN,0.517448876,3.4,42.0636756977313,0.407627174,29,2.14
Recurvirostra avosetta,RECAVO,0.518289023,2.4585635359116,42.1725329618961,0.360139495,14,3.884
Acrocephalus schoenobaenus,ACRSCH,0.551721256,1.59580052493438,34.0829141189076,0.252842257,86,36.434
Acrocephalus scirpaceus,ACRSCI,0.56338496,1.63881401617251,23.8194314941555,0.258534774,280,52.135
Alcedo atthis,ALCATT,0.592095694,1.08469055374593,27.0379522592617,0.329695822,178,61.984
Panurus biarmicus,PANBIA,0.600676565,1.42105263157895,42.093263573061,0.334431903,11,0.911
Calandrella brachydactyla,CALBRA,0.605275396,1.36363636363636,44.4123363310809,0.242497239,9,2.816
Tachybaptus ruficollis,TACRUF,0.64820913,1.60171919770774,33.9254541586206,0.292816854,157,62.0182
Cisticola juncidis,CISJUN,0.681202144,1.38944099378882,16.6322857736234,0.259218558,211,9.702
Turdus torquatus,TURTOR,0.693212917,1.45644599303136,34.9929335962539,0.24525455,88,8.802
Circus aeruginosus,CIRAER,0.693621324,1.27542372881356,32.1236708559723,0.371991545,111,35.467
Locustella luscinioides,LOCLUS,0.716514722,1.13333333333333,41.5479187252361,0.283787716,18,17.49
Tetrax tetrax,TETRAX,0.721403109,1.74074074074074,40.0819083309647,0.243910781,29,3.809
Perdix perdix,PERPER,0.72381205,2.07525150905433,8.0344734252658,0.245662825,365,50.828
Larus melanocephalus,LARMEL,0.729398241,5.62105263157895,44.0437366061689,0.338065415,21,1.264
Charadrius dubius,CHADUB,0.739915128,2.25352112676056,39.7569910542071,0.331089872,65,39.195
Anthus campestris,ANTCAM,0.763454903,1.37166324435318,33.0931064644917,0.25235287,75,14.358
Tachymarptis melba,APUMEL,0.773646681,6.26315789473684,45.3531507396465,0.305529096,11,11.722
Rallus aquaticus,RALAQU,0.794640744,1.18181818181818,37.7925857125109,0.323222165,59,56.613
Anas platyrhynchos,ANAPLA,0.804229392,3.52884615384615,12.8178724166928,0.330542401,905,60.353
Anser anser,ANSANS,0.810760219,1.94117647058824,45.3657399986752,0.358987563,11,0.983
Phalacrocorax carbo,PHACAR,0.823858798,3.07834101382488,42.1168284319403,0.339317355,121,9.666
Ardea purpurea,ARDPUR,0.825629313,1.25373134328358,40.9262097536743,0.345054499,41,36.026
Ixobrychus minutus,IXOMIN,0.843868439,1.05882352941176,42.6181071455555,0.323140327,12,37.03
Larus ridibundus,LARRID,0.85049588,5.1010752688172,38.3497884386011,0.356762883,162,24.769
Dendrocoptes medius,DENMED,0.85683725,1.14389799635701,19.7928587248724,0.287676846,246,37.436
Lyrurus tetrix,TETRIX,0.866870828,1.41071428571429,39.0700555412763,0.257574261,22,25.2994
Sylvia cantillans,SYLCAN,0.873396724,1.48936170212766,25.9918994780121,0.246363971,146,8.567
Falco peregrinus,FALPER,0.878185568,1.31578947368421,42.6076245365095,0.375947107,36,21.193
Motacilla flava,MOTFLA,0.893757747,1.69654118096694,7.6572995235392,0.252618768,598,41.425
Acrocephalus palustris,ACRRIS,0.924164456,1.42647058823529,33.692171436842,0.25171471,124,18.993
Nycticorax nycticorax,NYCNYC,0.932852958,1.95238095238095,46.7071008827302,0.329215057,38,37.458
Spatula clypeata,ANACLY,0.948369124,2.52380952380952,44.9155475303405,0.284837923,28,16.226
Apus apus,APUAPU,0.95033258,5.39577464788732,26.8132597802476,0.305624577,503,63.478
Prunella collaris,PRUCOL,0.957885282,1.41304347826087,42.7392186913788,0.262442622,19,4.915
Certhia familiaris,CERFAM,0.962277724,1.10507674144038,24.0349168780891,0.289159554,244,17.256
