"INDIC_AGR","GEO","FARMTYPE","LEG_FORM","SO_EUR","AGRAREA","TIME","Value"
"Farm - number","Belgium","Total","Total","Total","Total","2016","36,890"
"Farm - number","Belgium","Total","Total","Total","Total","2013","37,760"
"Farm - number","Belgium","Total","Total","Total","Total","2010","42,850"
"Farm - number","Belgium","Total","Total","Total","Total","2007","48,010"
"Farm - number","Belgium","Total","Total","Total","Total","2005","51,540"
"Farm - number","Bulgaria","Total","Total","Total","Total","2016","202,720"
"Farm - number","Bulgaria","Total","Total","Total","Total","2013","254,410"
"Farm - number","Bulgaria","Total","Total","Total","Total","2010","370,490"
"Farm - number","Bulgaria","Total","Total","Total","Total","2007","493,130"
"Farm - number","Bulgaria","Total","Total","Total","Total","2005","534,610"
"Farm - number","Czechia","Total","Total","Total","Total","2016","26,530"
"Farm - number","Czechia","Total","Total","Total","Total","2013","26,250"
"Farm - number","Czechia","Total","Total","Total","Total","2010","22,860"
"Farm - number","Czechia","Total","Total","Total","Total","2007","39,400"
"Farm - number","Czechia","Total","Total","Total","Total","2005","42,250"
"Farm - number","Denmark","Total","Total","Total","Total","2016","35,050"
"Farm - number","Denmark","Total","Total","Total","Total","2013","38,280"
"Farm - number","Denmark","Total","Total","Total","Total","2010","41,360"
"Farm - number","Denmark","Total","Total","Total","Total","2007","44,620"
"Farm - number","Denmark","Total","Total","Total","Total","2005","51,680"
"Farm - number","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","2016","276,120"
"Farm - number","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","2013","285,030"
"Farm - number","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","2010","299,130"
"Farm - number","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","2007","370,480"
"Farm - number","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","2005","389,880"
"Farm - number","Estonia","Total","Total","Total","Total","2016","16,700"
"Farm - number","Estonia","Total","Total","Total","Total","2013","19,190"
"Farm - number","Estonia","Total","Total","Total","Total","2010","19,610"
"Farm - number","Estonia","Total","Total","Total","Total","2007","23,340"
"Farm - number","Estonia","Total","Total","Total","Total","2005","27,750"
"Farm - number","Ireland","Total","Total","Total","Total","2016","137,560"
"Farm - number","Ireland","Total","Total","Total","Total","2013","139,600"
"Farm - number","Ireland","Total","Total","Total","Total","2010","139,890"
"Farm - number","Ireland","Total","Total","Total","Total","2007","128,240"
"Farm - number","Ireland","Total","Total","Total","Total","2005","132,670"
"Farm - number","Greece","Total","Total","Total","Total","2016","684,950"
"Farm - number","Greece","Total","Total","Total","Total","2013","709,500"
"Farm - number","Greece","Total","Total","Total","Total","2010","723,060"
"Farm - number","Greece","Total","Total","Total","Total","2007","860,150"
"Farm - number","Greece","Total","Total","Total","Total","2005","833,590"
"Farm - number","Spain","Total","Total","Total","Total","2016","945,020"
"Farm - number","Spain","Total","Total","Total","Total","2013","965,000"
"Farm - number","Spain","Total","Total","Total","Total","2010","989,800"
"Farm - number","Spain","Total","Total","Total","Total","2007","1,043,910"
"Farm - number","Spain","Total","Total","Total","Total","2005","1,079,420"
"Farm - number","France","Total","Total","Total","Total","2016","456,520"
"Farm - number","France","Total","Total","Total","Total","2013","472,210"
"Farm - number","France","Total","Total","Total","Total","2010","516,100"
"Farm - number","France","Total","Total","Total","Total","2007","527,350"
"Farm - number","France","Total","Total","Total","Total","2005","567,140"
"Farm - number","Croatia","Total","Total","Total","Total","2016","134,460"
"Farm - number","Croatia","Total","Total","Total","Total","2013","157,440"
"Farm - number","Croatia","Total","Total","Total","Total","2010","233,280"
"Farm - number","Croatia","Total","Total","Total","Total","2007","181,250"
"Farm - number","Croatia","Total","Total","Total","Total","2005",":"
"Farm - number","Italy","Total","Total","Total","Total","2016","1,145,710"
"Farm - number","Italy","Total","Total","Total","Total","2013","1,010,330"
"Farm - number","Italy","Total","Total","Total","Total","2010","1,620,880"
"Farm - number","Italy","Total","Total","Total","Total","2007","1,679,440"
"Farm - number","Italy","Total","Total","Total","Total","2005","1,728,530"
"Farm - number","Cyprus","Total","Total","Total","Total","2016","34,940"
"Farm - number","Cyprus","Total","Total","Total","Total","2013","35,380"
"Farm - number","Cyprus","Total","Total","Total","Total","2010","38,860"
"Farm - number","Cyprus","Total","Total","Total","Total","2007","40,120"
"Farm - number","Cyprus","Total","Total","Total","Total","2005","45,170"
"Farm - number","Latvia","Total","Total","Total","Total","2016","69,930"
"Farm - number","Latvia","Total","Total","Total","Total","2013","81,800"
"Farm - number","Latvia","Total","Total","Total","Total","2010","83,390"
"Farm - number","Latvia","Total","Total","Total","Total","2007","107,750"
"Farm - number","Latvia","Total","Total","Total","Total","2005","128,670"
"Farm - number","Lithuania","Total","Total","Total","Total","2016","150,320"
"Farm - number","Lithuania","Total","Total","Total","Total","2013","171,800"
"Farm - number","Lithuania","Total","Total","Total","Total","2010","199,910"
"Farm - number","Lithuania","Total","Total","Total","Total","2007","230,270"
"Farm - number","Lithuania","Total","Total","Total","Total","2005","252,950"
"Farm - number","Luxembourg","Total","Total","Total","Total","2016","1,970"
"Farm - number","Luxembourg","Total","Total","Total","Total","2013","2,080"
"Farm - number","Luxembourg","Total","Total","Total","Total","2010","2,200"
"Farm - number","Luxembourg","Total","Total","Total","Total","2007","2,300"
"Farm - number","Luxembourg","Total","Total","Total","Total","2005","2,450"
"Farm - number","Hungary","Total","Total","Total","Total","2016","430,000"
"Farm - number","Hungary","Total","Total","Total","Total","2013","491,330"
"Farm - number","Hungary","Total","Total","Total","Total","2010","576,810"
"Farm - number","Hungary","Total","Total","Total","Total","2007","626,320"
"Farm - number","Hungary","Total","Total","Total","Total","2005","714,790"
"Farm - number","Malta","Total","Total","Total","Total","2016","9,210"
"Farm - number","Malta","Total","Total","Total","Total","2013","9,360"
"Farm - number","Malta","Total","Total","Total","Total","2010","12,530"
"Farm - number","Malta","Total","Total","Total","Total","2007","11,020"
"Farm - number","Malta","Total","Total","Total","Total","2005","11,070"
"Farm - number","Netherlands","Total","Total","Total","Total","2016","55,680"
"Farm - number","Netherlands","Total","Total","Total","Total","2013","67,480"
"Farm - number","Netherlands","Total","Total","Total","Total","2010","72,320"
"Farm - number","Netherlands","Total","Total","Total","Total","2007","76,740"
"Farm - number","Netherlands","Total","Total","Total","Total","2005","81,830"
"Farm - number","Austria","Total","Total","Total","Total","2016","132,500"
"Farm - number","Austria","Total","Total","Total","Total","2013","140,430"
"Farm - number","Austria","Total","Total","Total","Total","2010","150,170"
"Farm - number","Austria","Total","Total","Total","Total","2007","165,420"
"Farm - number","Austria","Total","Total","Total","Total","2005","170,640"
"Farm - number","Poland","Total","Total","Total","Total","2016","1,410,700"
"Farm - number","Poland","Total","Total","Total","Total","2013","1,429,010"
"Farm - number","Poland","Total","Total","Total","Total","2010","1,506,620"
"Farm - number","Poland","Total","Total","Total","Total","2007","2,390,960"
"Farm - number","Poland","Total","Total","Total","Total","2005","2,476,470"
"Farm - number","Portugal","Total","Total","Total","Total","2016","258,980"
"Farm - number","Portugal","Total","Total","Total","Total","2013","264,420"
"Farm - number","Portugal","Total","Total","Total","Total","2010","305,270"
"Farm - number","Portugal","Total","Total","Total","Total","2007","275,080"
"Farm - number","Portugal","Total","Total","Total","Total","2005","323,920"
"Farm - number","Romania","Total","Total","Total","Total","2016","3,422,030"
"Farm - number","Romania","Total","Total","Total","Total","2013","3,629,660"
"Farm - number","Romania","Total","Total","Total","Total","2010","3,859,040"
"Farm - number","Romania","Total","Total","Total","Total","2007","3,931,350"
"Farm - number","Romania","Total","Total","Total","Total","2005","4,256,150"
"Farm - number","Slovenia","Total","Total","Total","Total","2016","69,900"
"Farm - number","Slovenia","Total","Total","Total","Total","2013","72,380"
"Farm - number","Slovenia","Total","Total","Total","Total","2010","74,650"
"Farm - number","Slovenia","Total","Total","Total","Total","2007","75,340"
"Farm - number","Slovenia","Total","Total","Total","Total","2005","77,170"
"Farm - number","Slovakia","Total","Total","Total","Total","2016","25,660"
"Farm - number","Slovakia","Total","Total","Total","Total","2013","23,570"
"Farm - number","Slovakia","Total","Total","Total","Total","2010","24,460"
"Farm - number","Slovakia","Total","Total","Total","Total","2007","68,990"
"Farm - number","Slovakia","Total","Total","Total","Total","2005","68,490"
"Farm - number","Finland","Total","Total","Total","Total","2016","49,710"
"Farm - number","Finland","Total","Total","Total","Total","2013","54,400"
"Farm - number","Finland","Total","Total","Total","Total","2010","63,870"
"Farm - number","Finland","Total","Total","Total","Total","2007","68,230"
"Farm - number","Finland","Total","Total","Total","Total","2005","70,620"
"Farm - number","Sweden","Total","Total","Total","Total","2016","62,940"
"Farm - number","Sweden","Total","Total","Total","Total","2013","67,150"
"Farm - number","Sweden","Total","Total","Total","Total","2010","71,090"
"Farm - number","Sweden","Total","Total","Total","Total","2007","72,610"
"Farm - number","Sweden","Total","Total","Total","Total","2005","75,810"
"Farm - number","Iceland","Total","Total","Total","Total","2016",":"
"Farm - number","Iceland","Total","Total","Total","Total","2013",":"
"Farm - number","Iceland","Total","Total","Total","Total","2010","2,590"
"Farm - number","Iceland","Total","Total","Total","Total","2007",":"
"Farm - number","Iceland","Total","Total","Total","Total","2005",":"
"Farm - number","Norway","Total","Total","Total","Total","2016",":"
"Farm - number","Norway","Total","Total","Total","Total","2013","43,270"
"Farm - number","Norway","Total","Total","Total","Total","2010","46,620"
"Farm - number","Norway","Total","Total","Total","Total","2007","49,930"
"Farm - number","Norway","Total","Total","Total","Total","2005","53,000"
"Farm - number","Switzerland","Total","Total","Total","Total","2016",":"
"Farm - number","Switzerland","Total","Total","Total","Total","2013",":"
"Farm - number","Switzerland","Total","Total","Total","Total","2010","59,070"
"Farm - number","Switzerland","Total","Total","Total","Total","2007","61,760"
"Farm - number","Switzerland","Total","Total","Total","Total","2005","63,630"
"Farm - number","United Kingdom","Total","Total","Total","Total","2016","185,060"
"Farm - number","United Kingdom","Total","Total","Total","Total","2013","183,040"
"Farm - number","United Kingdom","Total","Total","Total","Total","2010","185,200"
"Farm - number","United Kingdom","Total","Total","Total","Total","2007","226,650"
"Farm - number","United Kingdom","Total","Total","Total","Total","2005","286,750"
"Farm - number","Montenegro","Total","Total","Total","Total","2016",":"
"Farm - number","Montenegro","Total","Total","Total","Total","2013",":"
"Farm - number","Montenegro","Total","Total","Total","Total","2010","48,870"
"Farm - number","Montenegro","Total","Total","Total","Total","2007",":"
"Farm - number","Montenegro","Total","Total","Total","Total","2005",":"
"Utilised agricultural area - hectare","Belgium","Total","Total","Total","Total","2016","1,354,250"
"Utilised agricultural area - hectare","Belgium","Total","Total","Total","Total","2013","1,307,900"
"Utilised agricultural area - hectare","Belgium","Total","Total","Total","Total","2010","1,358,020"
"Utilised agricultural area - hectare","Belgium","Total","Total","Total","Total","2007","1,374,430"
"Utilised agricultural area - hectare","Belgium","Total","Total","Total","Total","2005","1,385,580"
"Utilised agricultural area - hectare","Bulgaria","Total","Total","Total","Total","2016","4,468,500"
"Utilised agricultural area - hectare","Bulgaria","Total","Total","Total","Total","2013","4,650,940"
"Utilised agricultural area - hectare","Bulgaria","Total","Total","Total","Total","2010","4,475,530"
"Utilised agricultural area - hectare","Bulgaria","Total","Total","Total","Total","2007","3,050,740"
"Utilised agricultural area - hectare","Bulgaria","Total","Total","Total","Total","2005","2,729,390"
"Utilised agricultural area - hectare","Czechia","Total","Total","Total","Total","2016","3,455,410"
"Utilised agricultural area - hectare","Czechia","Total","Total","Total","Total","2013","3,491,470"
"Utilised agricultural area - hectare","Czechia","Total","Total","Total","Total","2010","3,483,500"
"Utilised agricultural area - hectare","Czechia","Total","Total","Total","Total","2007","3,518,070"
"Utilised agricultural area - hectare","Czechia","Total","Total","Total","Total","2005","3,557,790"
"Utilised agricultural area - hectare","Denmark","Total","Total","Total","Total","2016","2,614,600"
"Utilised agricultural area - hectare","Denmark","Total","Total","Total","Total","2013","2,619,340"
"Utilised agricultural area - hectare","Denmark","Total","Total","Total","Total","2010","2,646,860"
"Utilised agricultural area - hectare","Denmark","Total","Total","Total","Total","2007","2,662,590"
"Utilised agricultural area - hectare","Denmark","Total","Total","Total","Total","2005","2,707,690"
"Utilised agricultural area - hectare","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","2016","16,715,320"
"Utilised agricultural area - hectare","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","2013","16,699,580"
"Utilised agricultural area - hectare","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","2010","16,704,040"
"Utilised agricultural area - hectare","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","2007","16,931,900"
"Utilised agricultural area - hectare","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","2005","17,035,220"
"Utilised agricultural area - hectare","Estonia","Total","Total","Total","Total","2016","995,100"
"Utilised agricultural area - hectare","Estonia","Total","Total","Total","Total","2013","957,510"
"Utilised agricultural area - hectare","Estonia","Total","Total","Total","Total","2010","940,930"
"Utilised agricultural area - hectare","Estonia","Total","Total","Total","Total","2007","906,830"
"Utilised agricultural area - hectare","Estonia","Total","Total","Total","Total","2005","828,930"
"Utilised agricultural area - hectare","Ireland","Total","Total","Total","Total","2016","4,883,650"
"Utilised agricultural area - hectare","Ireland","Total","Total","Total","Total","2013","4,959,450"
"Utilised agricultural area - hectare","Ireland","Total","Total","Total","Total","2010","4,991,350"
"Utilised agricultural area - hectare","Ireland","Total","Total","Total","Total","2007","4,139,240"
"Utilised agricultural area - hectare","Ireland","Total","Total","Total","Total","2005","4,219,380"
"Utilised agricultural area - hectare","Greece","Total","Total","Total","Total","2016","4,553,830"
"Utilised agricultural area - hectare","Greece","Total","Total","Total","Total","2013","4,856,780"
"Utilised agricultural area - hectare","Greece","Total","Total","Total","Total","2010","5,177,510"
"Utilised agricultural area - hectare","Greece","Total","Total","Total","Total","2007","4,076,230"
"Utilised agricultural area - hectare","Greece","Total","Total","Total","Total","2005","3,983,790"
"Utilised agricultural area - hectare","Spain","Total","Total","Total","Total","2016","23,229,750"
"Utilised agricultural area - hectare","Spain","Total","Total","Total","Total","2013","23,300,220"
"Utilised agricultural area - hectare","Spain","Total","Total","Total","Total","2010","23,752,690"
"Utilised agricultural area - hectare","Spain","Total","Total","Total","Total","2007","24,892,520"
"Utilised agricultural area - hectare","Spain","Total","Total","Total","Total","2005","24,855,130"
"Utilised agricultural area - hectare","France","Total","Total","Total","Total","2016","27,814,160"
"Utilised agricultural area - hectare","France","Total","Total","Total","Total","2013","27,739,430"
"Utilised agricultural area - hectare","France","Total","Total","Total","Total","2010","27,837,290"
"Utilised agricultural area - hectare","France","Total","Total","Total","Total","2007","27,476,930"
"Utilised agricultural area - hectare","France","Total","Total","Total","Total","2005","27,590,940"
