DATAFLOW,LAST UPDATE,freq,unit,indic_fo,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,AT,1990,3775.67,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,AT,2000,3838.14,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,AT,2010,3863.20,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,AT,2015,3881.19,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,AT,2016,3884.79,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,AT,2017,3888.38,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,AT,2018,3891.97,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,AT,2019,3895.56,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,AT,2020,3899.15,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BA,1990,2210.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BA,2000,2111.65,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BA,2010,2102.66,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BA,2015,2160.50,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BA,2016,2176.51,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BA,2017,2187.91,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BA,2018,2187.91,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BA,2019,2187.91,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BA,2020,2187.91,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BE,1990,677.40,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BE,2000,667.30,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BE,2010,689.87,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BE,2015,689.30,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BE,2016,689.30,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BE,2017,689.30,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BE,2018,689.30,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BE,2019,689.30,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BE,2020,689.30,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BG,1990,3327.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BG,2000,3375.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BG,2010,3737.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BG,2015,3833.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BG,2016,3841.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BG,2017,3854.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BG,2018,3867.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BG,2019,3880.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,BG,2020,3893.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CH,1990,1153.50,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CH,2000,1196.18,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CH,2010,1234.72,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CH,2015,1251.91,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CH,2016,1255.35,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CH,2017,1258.79,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CH,2018,1262.23,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CH,2019,1265.67,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CH,2020,1269.11,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CZ,1990,2629.42,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CZ,2000,2637.29,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CZ,2010,2657.38,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CZ,2015,2668.39,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CZ,2016,2669.85,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CZ,2017,2671.66,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CZ,2018,2673.47,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CZ,2019,2675.28,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,CZ,2020,2677.09,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,1990,11300.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,2000,11354.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,2010,11409.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,2015,11419.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,2016,11419.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,2017,11419.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,2018,11419.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,2019,11419.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DE,2020,11419.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DK,1990,531.44,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DK,2000,571.60,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DK,2010,586.49,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DK,2015,624.68,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DK,2016,624.66,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DK,2017,625.60,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,DK,2018,626.56,
