DATAFLOW,LAST UPDATE,freq,unit,landcover,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,AT,2009,83944,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,AT,2012,83944,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,AT,2015,83944,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,AT,2018,83878,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,BE,2009,30668,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,BE,2012,30668,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,BE,2015,30668,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,BE,2018,30666,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,BG,2009,110995,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,BG,2012,110995,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,BG,2015,110995,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,BG,2018,110996,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,CY,2009,9249,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,CY,2012,9249,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,CY,2015,9249,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,CY,2018,9253,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,CZ,2009,78874,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,CZ,2012,78874,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,CZ,2015,78874,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,CZ,2018,78871,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,DE,2009,358327,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,DE,2012,358327,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,DE,2015,358327,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,DE,2018,357569,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,DK,2009,43162,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,DK,2012,43162,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,DK,2015,43162,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,DK,2018,42925,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,EE,2009,45347,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,EE,2012,45347,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,EE,2015,45347,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,EE,2018,45336,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,EL,2009,131912,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,EL,2012,131912,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,EL,2015,131912,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,EL,2018,131694,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,ES,2009,498504,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,ES,2012,498504,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,ES,2015,498504,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,ES,2018,498502,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,FI,2009,337547,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,FI,2012,337547,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,FI,2015,337547,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,FI,2018,338411,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,FR,2009,549060,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,FR,2012,549060,
ESTAT:LAN_LCV_FAO(1.0),18/05/21 23:00:00,A,KM2,LC,FR,2015,549060,
