Order,Family,Species,LengthU_MEAN,WingU_MEAN,WingM_MEAN,WingF_MEAN,TailU_MEAN,TailM_MEAN,TailF_MEAN,BillU_MEAN,BillM_MEAN,BillF_MEAN,TarsusU_MEAN,TarsusM_MEAN,TarsusF_MEAN,WeightU_MEAN,WeightM_MEAN,WeightF_MEAN,Sexual dimorphism,Clutch_MIN,Clutch_MAX,Clutch_MEAN,Broods per year,EggL_MEAN,EggW_MEAN,Egg_MASS,Young,Association during nesting,Nest type,Nest building,Mating system,Incubation period,Incubation sex,Hatching,Eggshells,Nestling period,Fledging period,Parental feeding,Age of independence,Feeding independence,Age of first breeding,Life span,Post+AC0-fledging mortality,Mortality of adults,Association outside the breeding season,Territoriality,Sedentary,Facultative migrant,Short distance migrant,Long distance migrant,Deciduous forest,Coniferous forest,Woodland,Shrub,Savanna,Tundra,Grassland,Mountain meadows,Reed,Swamps,Desert,Freshwater,Marine,Rocks,Human settlements,Folivore_Y,Frugivore_Y,Granivore_Y,Troph_level_1,Arthropods_Y,Other invertebrates_Y,Troph_level_2,Fish_Y,Other vertebrates_Y,Carrion_Y,Troph_level_3,Omnivore_Y,Folivore_B,Frugivore_B,Granivore_B,Arthropods_B,Other invertebrates_B,Fish_B,Other vertebrates_B,Carrion_B,Omnivore_B
Accipitriformes,Accipitridae,Accipiter brevipes,35,227.5,220,235,160,154,166,13.3,12.5,14.1,49.3,48.9,49.7,221.5,189,254,1,3,5,4,1,40,32,22,SA,S,OA,F,M,33,F,AS,NA,20,43,60,60,60,1,15.5,64,33,SO_PA,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,0,0,1,0,0,1,0,0
Accipitriformes,Accipitridae,Accipiter gentilis,55,332.5,312,353,239.5,223,256,23.5,22,25,79.2,74.4,84,931.5,717,1146,1,1,6,3.5,1,59,45,52,SA,S,OA,B,M,37,F,AS,NA,35,39,70,70,70,3,22,69,33,SO,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0
Accipitriformes,Accipitridae,Accipiter nisus,33,221.5,203,240,164.5,149,180,12.9,11.4,14.4,57.2,53.4,61,204,144,264,1,3,7,4.5,1,40,32,23,SA,S,OA,B,M,34,F,SY,NA,26,27,52,52,52,2,20,58,32,SO,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0
Accipitriformes,Accipitridae,Aegypius monachus,105,786.5,772,801,373,365,381,61.2,61.6,60.8,130.5,129,132,9625,9250,10000,0,0,1,1,1,90,70,243,SA,S,OA,B,M,53,B,NA,NA,NA,110,NA,NA,NA,6,32,NA,NA,SO_PA,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0
Accipitriformes,Accipitridae,Aquila adalberti,80,610.5,600,621,298.5,291,306,46.4,44.4,48.4,101,93,109,3000,3000,3000,0,1,4,2.5,1,73,57,132,SA,S,OA,F,M,43,B,AS,NA,NA,75,NA,NA,NA,5,56,NA,NA,SO_PA,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0
Accipitriformes,Accipitridae,Aquila fasciata,68.5,491.5,482,501,254,237,271,34.1,33.4,34.8,103,103,103,1905,1560,2250,0,1,3,2,1,69,54,112,SA,S,OA,B,M,39,B,AS,NA,NA,63,NA,119,119,3,20,NA,NA,SO_PA,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0
Accipitriformes,Accipitridae,Aquila heliaca,77.5,591,574,608,286.5,276,297,43.65,42,45.3,98.5,94,103,3262.5,2624,3901,0,1,3,2.5,1,73,57,132,SA,S,OA,F,M,43,B,AS,NA,NA,70,NA,NA,NA,5,26,NA,NA,SO_PA,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0
Accipitriformes,Accipitridae,Aquila chrysaetos,81.5,626,591,661,326,311,341,43.35,41.4,45.3,106,103,109,4383,3572,5194,0,1,3,2,1,75,59,136,SA,S,OA,F,M,44,B,AS,NA,NA,70,NA,160,160,4,32,NA,NA,SO_PA,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,1,0
Accipitriformes,Accipitridae,Aquila nipalenis,76.5,550,533,567,259.5,250,269,39.05,37.5,40.6,92.5,90,95,2723,2459,2987,0,1,3,2,1,69,54,119,SA,S,OA,B,M,45,F,AS,NA,NA,60,NA,NA,NA,6,43,NA,NA,SO,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0
Accipitriformes,Accipitridae,Buteo buteo,54,392.5,387,398,211.5,208,215,22.3,21.6,23,75.75,75,76.5,806.5,732,881,0,2,4,3,1,55,44,53,SA,S,OA,B,M,33,B,AS,NA,42,53,NA,100,100,3,29,62,30,SO,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,3,0,0,0,0,0,0,0,1,0,0
Accipitriformes,Accipitridae,Buteo lagopus,55,429.5,417,442,218.5,211,226,22.4,21.4,23.4,73,70,76,947.5,809,1086,0,2,7,3.5,1,55,44,59,SA,S,OA,B,M,30,F,AS,NA,42,41,NA,68,68,3,19,NA,NA,SO_PA,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0
Accipitriformes,Accipitridae,Buteo rufinus,57.5,414.5,401,428,215,210,220,25.25,24.5,26,83.5,83,84,1174.5,1035,1314,0,2,5,3.5,1,60,47,73,SA,S,OA,B,M,28,F,AS,NA,42,41,NA,NA,NA,3,18,NA,NA,SO_PA,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,0,0,1,0,0,1,0,0
Accipitriformes,Accipitridae,Circaetus gallicus,64.5,529,523,535,278.5,268,289,35.5,34.9,36.1,90.5,90,91,1699.5,1664,1735,0,0,1,1,1,74,58,136,SA,S,OA,B,M,46,F,NA,NA,60,73,NA,NA,NA,4,17,NA,NA,SO_PA,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0
